LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2016 22:13:30,0                 
Time,Ampl
-8.454315e-007,0.0289576
-8.452315e-007,0.0129582
-8.450315e-007,0.0129582
-8.448315e-007,-0.0190405
-8.446315e-007,-0.00304116
-8.444315e-007,0.0129582
-8.442315e-007,0.0129582
-8.440315e-007,0.0289576
-8.438315e-007,0.0129582
-8.436315e-007,-0.00304116
-8.434315e-007,0.0129582
-8.432315e-007,-0.00304116
-8.430315e-007,-0.00304116
-8.428315e-007,0.0289576
-8.426315e-007,-0.00304116
-8.424315e-007,-0.00304116
-8.422315e-007,0.0289576
-8.420315e-007,0.0289576
-8.418315e-007,0.0129582
-8.416315e-007,-0.00304116
-8.414315e-007,0.0129582
-8.412315e-007,-0.00304116
-8.410315e-007,0.0129582
-8.408315e-007,0.0129582
-8.406315e-007,-0.00304116
-8.404315e-007,0.0289576
-8.402315e-007,0.0129582
-8.400315e-007,0.0129582
-8.398315e-007,-0.00304116
-8.396315e-007,0.0129582
-8.394315e-007,-0.00304116
-8.392315e-007,-0.0190405
-8.390315e-007,-0.00304116
-8.388315e-007,0.0129582
-8.386315e-007,-0.00304116
-8.384315e-007,-0.0190405
-8.382315e-007,0.0289576
-8.380315e-007,0.0129582
-8.378315e-007,0.0129582
-8.376315e-007,0.0129582
-8.374315e-007,0.0289576
-8.372315e-007,0.0129582
-8.370315e-007,0.0129582
-8.368315e-007,-0.0190405
-8.366315e-007,-0.00304116
-8.364315e-007,0.0129582
-8.362315e-007,0.0129582
-8.360315e-007,-0.00304116
-8.358315e-007,0.0289576
-8.356315e-007,0.0289576
-8.354315e-007,-0.00304116
-8.352315e-007,0.0289576
-8.350315e-007,-0.00304116
-8.348315e-007,-0.00304116
-8.346315e-007,-0.00304116
-8.344315e-007,0.0129582
-8.342315e-007,0.0129582
-8.340315e-007,0.0129582
-8.338315e-007,-0.00304116
-8.336315e-007,0.0129582
-8.334315e-007,0.0129582
-8.332315e-007,0.0129582
-8.330315e-007,-0.00304116
-8.328315e-007,0.0129582
-8.326315e-007,0.0129582
-8.324315e-007,0.0129582
-8.322315e-007,0.0129582
-8.320315e-007,-0.00304116
-8.318315e-007,-0.00304116
-8.316315e-007,0.0129582
-8.314315e-007,0.0129582
-8.312315e-007,-0.00304116
-8.310315e-007,-0.0190405
-8.308315e-007,0.0289576
-8.306315e-007,-0.0190405
-8.304315e-007,-0.0190405
-8.302315e-007,0.044957
-8.300315e-007,0.0129582
-8.298315e-007,0.0129582
-8.296315e-007,-0.00304116
-8.294315e-007,0.0129582
-8.292315e-007,0.0129582
-8.290315e-007,-0.0190405
-8.288315e-007,-0.00304116
-8.286315e-007,0.0289576
-8.284315e-007,0.0129582
-8.282315e-007,0.0129582
-8.280315e-007,0.0609564
-8.278315e-007,-0.00304116
-8.276315e-007,-0.00304116
-8.274315e-007,0.0129582
-8.272315e-007,0.0129582
-8.270315e-007,0.0289576
-8.268315e-007,-0.0190405
-8.266315e-007,-0.0190405
-8.264315e-007,-0.0190405
-8.262315e-007,-0.00304116
-8.260315e-007,-0.00304116
-8.258315e-007,0.0129582
-8.256315e-007,-0.00304116
-8.254315e-007,0.0289576
-8.252315e-007,0.044957
-8.250315e-007,0.0129582
-8.248315e-007,0.0129582
-8.246315e-007,-0.00304116
-8.244315e-007,-0.00304116
-8.242315e-007,0.0289576
-8.240315e-007,0.044957
-8.238315e-007,0.0289576
-8.236315e-007,-0.0190405
-8.234315e-007,-0.00304116
-8.232315e-007,-0.0190405
-8.230315e-007,-0.00304116
-8.228315e-007,0.0129582
-8.226315e-007,0.0129582
-8.224315e-007,-0.00304116
-8.222315e-007,0.0129582
-8.220315e-007,0.0289576
-8.218315e-007,0.0289576
-8.216315e-007,-0.00304116
-8.214315e-007,0.044957
-8.212315e-007,0.0289576
-8.210315e-007,0.0129582
-8.208315e-007,0.0129582
-8.206315e-007,0.0129582
-8.204315e-007,-0.00304116
-8.202315e-007,-0.00304116
-8.200315e-007,-0.00304116
-8.198315e-007,-0.00304116
-8.196315e-007,0.0289576
-8.194315e-007,0.0129582
-8.192315e-007,-0.00304116
-8.190315e-007,0.0289576
-8.188315e-007,0.0289576
-8.186315e-007,0.044957
-8.184315e-007,0.0129582
-8.182315e-007,0.044957
-8.180315e-007,0.0289576
-8.178315e-007,0.0289576
-8.176315e-007,0.0129582
-8.174315e-007,-0.0190405
-8.172315e-007,0.0289576
-8.170315e-007,0.0289576
-8.168315e-007,0.0289576
-8.166315e-007,-0.00304116
-8.164315e-007,-0.00304116
-8.162315e-007,0.0129582
-8.160315e-007,0.0289576
-8.158315e-007,-0.00304116
-8.156315e-007,0.0129582
-8.154315e-007,0.0129582
-8.152315e-007,-0.00304116
-8.150315e-007,-0.00304116
-8.148315e-007,-0.0190405
-8.146315e-007,-0.0190405
-8.144315e-007,-0.0350399
-8.142315e-007,0.0609564
-8.140315e-007,0.0289576
-8.138315e-007,0.0129582
-8.136315e-007,0.0129582
-8.134315e-007,0.0129582
-8.132315e-007,-0.00304116
-8.130315e-007,0.0129582
-8.128315e-007,0.0129582
-8.126315e-007,0.0129582
-8.124315e-007,-0.00304116
-8.122315e-007,0.0129582
-8.120315e-007,0.0129582
-8.118315e-007,0.0289576
-8.116315e-007,0.044957
-8.114315e-007,-0.00304116
-8.112315e-007,-0.0190405
-8.110315e-007,0.0289576
-8.108315e-007,-0.00304116
-8.106315e-007,0.0289576
-8.104315e-007,0.0129582
-8.102315e-007,-0.0190405
-8.100315e-007,-0.00304116
-8.098315e-007,0.0129582
-8.096315e-007,0.0129582
-8.094315e-007,0.0289576
-8.092315e-007,0.0289576
-8.090315e-007,-0.0190405
-8.088315e-007,0.0129582
-8.086315e-007,-0.00304116
-8.084315e-007,-0.00304116
-8.082315e-007,0.0289576
-8.080315e-007,-0.00304116
-8.078315e-007,-0.0190405
-8.076315e-007,0.0129582
-8.074315e-007,-0.00304116
-8.072315e-007,0.0289576
-8.070315e-007,0.0289576
-8.068315e-007,-0.00304116
-8.066315e-007,-0.0190405
-8.064315e-007,0.0129582
-8.062315e-007,0.0129582
-8.060315e-007,0.0129582
-8.058315e-007,-0.0190405
-8.056315e-007,0.0289576
-8.054315e-007,0.0289576
-8.052315e-007,0.0289576
-8.050315e-007,-0.00304116
-8.048315e-007,0.0129582
-8.046315e-007,0.0129582
-8.044315e-007,0.0129582
-8.042315e-007,0.0129582
-8.040315e-007,0.044957
-8.038315e-007,0.044957
-8.036315e-007,-0.00304116
-8.034315e-007,-0.00304116
-8.032315e-007,0.0289576
-8.030315e-007,0.0289576
-8.028315e-007,0.0289576
-8.026315e-007,0.0289576
-8.024315e-007,0.0289576
-8.022315e-007,0.0769558
-8.020315e-007,0.0129582
-8.018315e-007,0.0129582
-8.016315e-007,0.044957
-8.014315e-007,0.0289576
-8.012315e-007,0.0129582
-8.010315e-007,-0.0190405
-8.008315e-007,0.0129582
-8.006315e-007,0.0129582
-8.004315e-007,-0.00304116
-8.002315e-007,0.0129582
-8.000315e-007,-0.00304116
-7.998315e-007,-0.00304116
-7.996315e-007,0.0129582
-7.994315e-007,0.0129582
-7.992315e-007,-0.0190405
-7.990315e-007,0.0129582
-7.988315e-007,-0.00304116
-7.986315e-007,0.0129582
-7.984315e-007,0.0129582
-7.982315e-007,-0.00304116
-7.980315e-007,0.0289576
-7.978315e-007,0.0609564
-7.976315e-007,-0.00304116
-7.974315e-007,0.0129582
-7.972315e-007,0.0289576
-7.970315e-007,-0.00304116
-7.968315e-007,0.0289576
-7.966315e-007,0.0609564
-7.964315e-007,-0.0190405
-7.962315e-007,0.0129582
-7.960315e-007,0.0289576
-7.958315e-007,0.0289576
-7.956315e-007,0.0289576
-7.954315e-007,0.0289576
-7.952315e-007,0.0289576
-7.950315e-007,0.0129582
-7.948315e-007,0.0129582
-7.946315e-007,0.0289576
-7.944315e-007,0.0129582
-7.942315e-007,0.0129582
-7.940315e-007,0.0129582
-7.938315e-007,0.0129582
-7.936315e-007,0.0129582
-7.934315e-007,0.0129582
-7.932315e-007,-0.00304116
-7.930315e-007,0.0289576
-7.928315e-007,0.0129582
-7.926315e-007,-0.00304116
-7.924315e-007,0.0129582
-7.922315e-007,0.0129582
-7.920315e-007,-0.00304116
-7.918315e-007,0.044957
-7.916315e-007,0.0129582
-7.914315e-007,-0.00304116
-7.912315e-007,0.0289576
-7.910315e-007,-0.00304116
-7.908315e-007,0.0289576
-7.906315e-007,0.0289576
-7.904315e-007,-0.00304116
-7.902315e-007,-0.00304116
-7.900315e-007,0.0129582
-7.898315e-007,0.0129582
-7.896315e-007,0.0129582
-7.894315e-007,0.044957
-7.892315e-007,0.0289576
-7.890315e-007,0.0129582
-7.888315e-007,-0.00304116
-7.886315e-007,0.0289576
-7.884315e-007,-0.00304116
-7.882315e-007,0.0129582
-7.880315e-007,0.0289576
-7.878315e-007,0.0129582
-7.876315e-007,-0.00304116
-7.874315e-007,-0.0190405
-7.872315e-007,-0.00304116
-7.870315e-007,0.0609564
-7.868315e-007,0.0129582
-7.866315e-007,-0.0190405
-7.864315e-007,0.0129582
-7.862315e-007,-0.00304116
-7.860315e-007,0.0289576
-7.858315e-007,0.044957
-7.856315e-007,-0.00304116
-7.854315e-007,0.044957
-7.852315e-007,0.0129582
-7.850315e-007,0.0129582
-7.848315e-007,0.0129582
-7.846315e-007,-0.0190405
-7.844315e-007,-0.0190405
-7.842315e-007,-0.00304116
-7.840315e-007,-0.00304116
-7.838315e-007,0.0129582
-7.836315e-007,-0.0190405
-7.834315e-007,0.0129582
-7.832315e-007,0.0129582
-7.830315e-007,-0.00304116
-7.828315e-007,-0.00304116
-7.826315e-007,-0.00304116
-7.824315e-007,-0.0190405
-7.822315e-007,-0.00304116
-7.820315e-007,0.0129582
-7.818315e-007,0.0129582
-7.816315e-007,-0.0190405
-7.814315e-007,-0.0190405
-7.812315e-007,-0.00304116
-7.810315e-007,0.0289576
-7.808315e-007,0.0129582
-7.806315e-007,0.0289576
-7.804315e-007,0.0289576
-7.802315e-007,0.0129582
-7.800315e-007,0.0129582
-7.798315e-007,0.0289576
-7.796315e-007,0.0129582
-7.794315e-007,0.0129582
-7.792315e-007,-0.0190405
-7.790315e-007,-0.0190405
-7.788315e-007,0.044957
-7.786315e-007,-0.00304116
-7.784315e-007,0.0129582
-7.782315e-007,0.0129582
-7.780315e-007,0.044957
-7.778315e-007,0.0289576
-7.776315e-007,0.0129582
-7.774315e-007,-0.0190405
-7.772315e-007,-0.00304116
-7.770315e-007,0.0129582
-7.768315e-007,0.0129582
-7.766315e-007,-0.00304116
-7.764315e-007,0.0129582
-7.762315e-007,0.0129582
-7.760315e-007,0.0129582
-7.758315e-007,0.0129582
-7.756315e-007,0.0289576
-7.754315e-007,0.0129582
-7.752315e-007,0.044957
-7.750315e-007,0.0289576
-7.748315e-007,0.0129582
-7.746315e-007,-0.00304116
-7.744315e-007,0.0129582
-7.742315e-007,0.0129582
-7.740315e-007,0.0289576
-7.738315e-007,0.0289576
-7.736315e-007,0.0129582
-7.734315e-007,0.0129582
-7.732315e-007,0.0129582
-7.730315e-007,-0.0190405
-7.728315e-007,0.0129582
-7.726315e-007,0.0129582
-7.724315e-007,-0.00304116
-7.722315e-007,0.0129582
-7.720315e-007,0.0129582
-7.718315e-007,-0.00304116
-7.716315e-007,-0.00304116
-7.714315e-007,0.0129582
-7.712315e-007,0.0129582
-7.710315e-007,-0.00304116
-7.708315e-007,0.0289576
-7.706315e-007,0.0129582
-7.704315e-007,0.0129582
-7.702315e-007,0.0129582
-7.700315e-007,0.0129582
-7.698315e-007,-0.00304116
-7.696315e-007,0.0129582
-7.694315e-007,0.0289576
-7.692315e-007,0.0129582
-7.690315e-007,0.0129582
-7.688315e-007,0.0289576
-7.686315e-007,0.0129582
-7.684315e-007,0.0289576
-7.682315e-007,0.0129582
-7.680315e-007,0.0129582
-7.678315e-007,0.0129582
-7.676315e-007,-0.00304116
-7.674315e-007,0.0129582
-7.672315e-007,0.0129582
-7.670315e-007,-0.00304116
-7.668315e-007,-0.0190405
-7.666315e-007,0.0129582
-7.664315e-007,0.0289576
-7.662315e-007,0.0129582
-7.660315e-007,0.0289576
-7.658315e-007,-0.00304116
-7.656315e-007,-0.00304116
-7.654315e-007,0.0289576
-7.652315e-007,-0.00304116
-7.650315e-007,0.0289576
-7.648315e-007,0.044957
-7.646315e-007,0.0289576
-7.644315e-007,0.0289576
-7.642315e-007,0.0129582
-7.640315e-007,0.0289576
-7.638315e-007,0.0289576
-7.636315e-007,0.0129582
-7.634315e-007,-0.00304116
-7.632315e-007,-0.00304116
-7.630315e-007,0.0289576
-7.628315e-007,0.0129582
-7.626315e-007,0.0129582
-7.624315e-007,0.0129582
-7.622315e-007,0.044957
-7.620315e-007,0.0289576
-7.618315e-007,0.0289576
-7.616315e-007,-0.00304116
-7.614315e-007,0.0289576
-7.612315e-007,0.0129582
-7.610315e-007,-0.00304116
-7.608315e-007,-0.0190405
-7.606315e-007,-0.00304116
-7.604315e-007,-0.00304116
-7.602315e-007,0.0129582
-7.600315e-007,-0.00304116
-7.598315e-007,0.0129582
-7.596315e-007,0.044957
-7.594315e-007,-0.00304116
-7.592315e-007,0.0129582
-7.590315e-007,0.0129582
-7.588315e-007,0.0289576
-7.586315e-007,-0.00304116
-7.584315e-007,-0.00304116
-7.582315e-007,0.044957
-7.580315e-007,0.0129582
-7.578315e-007,0.0129582
-7.576315e-007,0.0289576
-7.574315e-007,0.0129582
-7.572315e-007,0.044957
-7.570315e-007,0.0289576
-7.568315e-007,0.044957
-7.566315e-007,-0.0190405
-7.564315e-007,0.0129582
-7.562315e-007,0.0129582
-7.560315e-007,0.0129582
-7.558315e-007,0.0129582
-7.556315e-007,0.0129582
-7.554315e-007,0.0289576
-7.552315e-007,0.0129582
-7.550315e-007,-0.00304116
-7.548315e-007,0.0129582
-7.546315e-007,0.0129582
-7.544315e-007,0.0129582
-7.542315e-007,0.044957
-7.540315e-007,0.044957
-7.538315e-007,-0.0190405
-7.536315e-007,-0.00304116
-7.534315e-007,0.0129582
-7.532315e-007,0.0129582
-7.530315e-007,0.0289576
-7.528315e-007,0.0289576
-7.526315e-007,0.0129582
-7.524315e-007,-0.00304116
-7.522315e-007,0.0289576
-7.520315e-007,0.0289576
-7.518315e-007,0.0129582
-7.516315e-007,-0.0190405
-7.514315e-007,0.0129582
-7.512315e-007,0.0129582
-7.510315e-007,-0.0190405
-7.508315e-007,-0.00304116
-7.506315e-007,0.0289576
-7.504315e-007,-0.00304116
-7.502315e-007,0.0289576
-7.500315e-007,0.044957
-7.498315e-007,0.0289576
-7.496315e-007,0.0129582
-7.494315e-007,0.0289576
-7.492315e-007,0.0289576
-7.490315e-007,0.0289576
-7.488315e-007,0.0289576
-7.486315e-007,-0.0190405
-7.484315e-007,-0.0190405
-7.482315e-007,0.0129582
-7.480315e-007,0.0289576
-7.478315e-007,-0.00304116
-7.476315e-007,-0.00304116
-7.474315e-007,0.0289576
-7.472315e-007,0.0129582
-7.470315e-007,-0.00304116
-7.468315e-007,0.0129582
-7.466315e-007,0.0129582
-7.464315e-007,0.0289576
-7.462315e-007,0.0129582
-7.460315e-007,0.044957
-7.458315e-007,0.0289576
-7.456315e-007,0.0129582
-7.454315e-007,-0.00304116
-7.452315e-007,0.0129582
-7.450315e-007,0.0129582
-7.448315e-007,-0.00304116
-7.446315e-007,-0.00304116
-7.444315e-007,-0.0190405
-7.442315e-007,-0.00304116
-7.440315e-007,0.0289576
-7.438315e-007,0.0129582
-7.436315e-007,-0.00304116
-7.434315e-007,0.044957
-7.432315e-007,0.044957
-7.430315e-007,0.0129582
-7.428315e-007,-0.00304116
-7.426315e-007,-0.00304116
-7.424315e-007,-0.00304116
-7.422315e-007,0.044957
-7.420315e-007,0.0289576
-7.418315e-007,0.0289576
-7.416315e-007,-0.00304116
-7.414315e-007,0.0129582
-7.412315e-007,-0.00304116
-7.410315e-007,-0.0190405
-7.408315e-007,0.0289576
-7.406315e-007,0.044957
-7.404315e-007,0.0129582
-7.402315e-007,-0.00304116
-7.400315e-007,0.0129582
-7.398315e-007,0.0129582
-7.396315e-007,0.0289576
-7.394315e-007,-0.00304116
-7.392315e-007,-0.00304116
-7.390315e-007,0.0129582
-7.388315e-007,0.0289576
-7.386315e-007,-0.00304116
-7.384315e-007,-0.00304116
-7.382315e-007,0.0129582
-7.380315e-007,0.0129582
-7.378315e-007,0.0129582
-7.376315e-007,0.0129582
-7.374315e-007,0.0129582
-7.372315e-007,0.0129582
-7.370315e-007,0.0129582
-7.368315e-007,0.0289576
-7.366315e-007,0.0289576
-7.364315e-007,0.0289576
-7.362315e-007,0.0289576
-7.360315e-007,0.0129582
-7.358315e-007,0.0129582
-7.356315e-007,-0.00304116
-7.354315e-007,0.0129582
