LECROYWR104Xi,20088,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,25-Sep-2016 22:13:30,0                 
Time,Ampl
-8.856315e-007,-0.0269834
-8.854315e-007,-0.0269834
-8.852315e-007,-0.010984
-8.850315e-007,-0.010984
-8.848315e-007,-0.0269834
-8.846315e-007,-0.010984
-8.844315e-007,-0.010984
-8.842315e-007,0.0210147
-8.840315e-007,-0.010984
-8.838315e-007,-0.010984
-8.836315e-007,0.00501536
-8.834315e-007,0.00501536
-8.832315e-007,-0.0269834
-8.830315e-007,0.00501536
-8.828315e-007,0.0210147
-8.826315e-007,0.00501536
-8.824315e-007,0.00501536
-8.822315e-007,-0.0269834
-8.820315e-007,-0.010984
-8.818315e-007,-0.010984
-8.816315e-007,-0.010984
-8.814315e-007,-0.0269834
-8.812315e-007,-0.010984
-8.810315e-007,-0.0269834
-8.808315e-007,-0.010984
-8.806315e-007,-0.010984
-8.804315e-007,0.00501536
-8.802315e-007,-0.010984
-8.800315e-007,0.00501536
-8.798315e-007,0.00501536
-8.796315e-007,-0.010984
-8.794315e-007,-0.010984
-8.792315e-007,0.0210147
-8.790315e-007,-0.010984
-8.788315e-007,-0.010984
-8.786315e-007,0.00501536
-8.784315e-007,-0.010984
-8.782315e-007,0.0530135
-8.780315e-007,0.00501536
-8.778315e-007,-0.0269834
-8.776315e-007,-0.010984
-8.774315e-007,-0.010984
-8.772315e-007,-0.010984
-8.770315e-007,0.00501536
-8.768315e-007,-0.010984
-8.766315e-007,-0.010984
-8.764315e-007,-0.0429828
-8.762315e-007,-0.010984
-8.760315e-007,0.00501536
-8.758315e-007,-0.010984
-8.756315e-007,0.00501536
-8.754315e-007,-0.0269834
-8.752315e-007,-0.010984
-8.750315e-007,-0.010984
-8.748315e-007,0.00501536
-8.746315e-007,-0.0269834
-8.744315e-007,0.00501536
-8.742315e-007,0.00501536
-8.740315e-007,0.0370141
-8.738315e-007,0.0210147
-8.736315e-007,0.00501536
-8.734315e-007,0.0210147
-8.732315e-007,0.0210147
-8.730315e-007,-0.0269834
-8.728315e-007,0.00501536
-8.726315e-007,-0.010984
-8.724315e-007,-0.010984
-8.722315e-007,0.00501536
-8.720315e-007,-0.010984
-8.718315e-007,-0.010984
-8.716315e-007,-0.010984
-8.714315e-007,0.00501536
-8.712315e-007,0.00501536
-8.710315e-007,-0.010984
-8.708315e-007,0.00501536
-8.706315e-007,-0.0269834
-8.704315e-007,0.00501536
-8.702315e-007,-0.010984
-8.700315e-007,-0.0269834
-8.698315e-007,0.00501536
-8.696315e-007,-0.010984
-8.694315e-007,-0.0269834
-8.692315e-007,0.00501536
-8.690315e-007,0.00501536
-8.688315e-007,-0.010984
-8.686315e-007,0.0210147
-8.684315e-007,0.0210147
-8.682315e-007,-0.0269834
-8.680315e-007,-0.010984
-8.678315e-007,-0.010984
-8.676315e-007,0.00501536
-8.674315e-007,0.00501536
-8.672315e-007,-0.0429828
-8.670315e-007,-0.0429828
-8.668315e-007,-0.010984
-8.666315e-007,0.0210147
-8.664315e-007,-0.010984
-8.662315e-007,0.0210147
-8.660315e-007,0.00501536
-8.658315e-007,0.00501536
-8.656315e-007,0.0210147
-8.654315e-007,-0.010984
-8.652315e-007,-0.0429828
-8.650315e-007,-0.010984
-8.648315e-007,-0.010984
-8.646315e-007,-0.010984
-8.644315e-007,-0.0269834
-8.642315e-007,0.0210147
-8.640315e-007,0.00501536
-8.638315e-007,-0.010984
-8.636315e-007,-0.0269834
-8.634315e-007,-0.010984
-8.632315e-007,-0.010984
-8.630315e-007,-0.010984
-8.628315e-007,-0.010984
-8.626315e-007,-0.010984
-8.624315e-007,-0.010984
-8.622315e-007,-0.0269834
-8.620315e-007,-0.010984
-8.618315e-007,-0.010984
-8.616315e-007,-0.0269834
-8.614315e-007,-0.0269834
-8.612315e-007,-0.0269834
-8.610315e-007,-0.010984
-8.608315e-007,-0.0429828
-8.606315e-007,0.00501536
-8.604315e-007,0.00501536
-8.602315e-007,-0.010984
-8.600315e-007,-0.010984
-8.598315e-007,-0.0269834
-8.596315e-007,-0.010984
-8.594315e-007,-0.0269834
-8.592315e-007,0.00501536
-8.590315e-007,-0.0269834
-8.588315e-007,0.00501536
-8.586315e-007,0.00501536
-8.584315e-007,-0.010984
-8.582315e-007,-0.010984
-8.580315e-007,0.00501536
-8.578315e-007,-0.010984
-8.576315e-007,-0.010984
-8.574315e-007,0.00501536
-8.572315e-007,0.0210147
-8.570315e-007,-0.0269834
-8.568315e-007,0.00501536
-8.566315e-007,-0.0269834
-8.564315e-007,0.00501536
-8.562315e-007,-0.010984
-8.560315e-007,0.0210147
-8.558315e-007,-0.010984
-8.556315e-007,-0.010984
-8.554315e-007,0.0210147
-8.552315e-007,0.00501536
-8.550315e-007,0.00501536
-8.548315e-007,0.00501536
-8.546315e-007,-0.010984
-8.544315e-007,-0.0429828
-8.542315e-007,-0.010984
-8.540315e-007,-0.010984
-8.538315e-007,0.00501536
-8.536315e-007,-0.010984
-8.534315e-007,-0.010984
-8.532315e-007,-0.0269834
-8.530315e-007,-0.010984
-8.528315e-007,-0.010984
-8.526315e-007,-0.010984
-8.524315e-007,-0.0269834
-8.522315e-007,-0.010984
-8.520315e-007,-0.010984
-8.518315e-007,-0.010984
-8.516315e-007,-0.010984
-8.514315e-007,0.0210147
-8.512315e-007,-0.010984
-8.510315e-007,-0.0269834
-8.508315e-007,-0.0429828
-8.506315e-007,-0.0269834
-8.504315e-007,-0.010984
-8.502315e-007,-0.010984
-8.500315e-007,0.0210147
-8.498315e-007,-0.010984
-8.496315e-007,-0.0269834
-8.494315e-007,-0.010984
-8.492315e-007,0.0210147
-8.490315e-007,-0.010984
-8.488315e-007,0.00501536
-8.486315e-007,0.0210147
-8.484315e-007,-0.0269834
-8.482315e-007,0.00501536
-8.480315e-007,-0.0269834
-8.478315e-007,0.00501536
-8.476315e-007,-0.010984
-8.474315e-007,-0.0269834
-8.472315e-007,0.00501536
-8.470315e-007,0.00501536
-8.468315e-007,-0.010984
-8.466315e-007,-0.010984
-8.464315e-007,0.00501536
-8.462315e-007,0.0210147
-8.460315e-007,-0.010984
-8.458315e-007,0.0210147
-8.456315e-007,-0.0269834
-8.454315e-007,-0.0269834
-8.452315e-007,0.0210147
-8.450315e-007,0.0210147
-8.448315e-007,0.00501536
-8.446315e-007,-0.010984
-8.444315e-007,-0.010984
-8.442315e-007,-0.010984
-8.440315e-007,-0.010984
-8.438315e-007,-0.010984
-8.436315e-007,0.0210147
-8.434315e-007,-0.010984
-8.432315e-007,0.00501536
-8.430315e-007,-0.010984
-8.428315e-007,-0.010984
-8.426315e-007,0.00501536
-8.424315e-007,-0.010984
-8.422315e-007,0.00501536
-8.420315e-007,0.0210147
-8.418315e-007,-0.010984
-8.416315e-007,-0.0269834
-8.414315e-007,0.00501536
-8.412315e-007,0.0210147
-8.410315e-007,-0.0269834
-8.408315e-007,-0.010984
-8.406315e-007,-0.010984
-8.404315e-007,-0.010984
-8.402315e-007,0.00501536
-8.400315e-007,-0.010984
-8.398315e-007,-0.0269834
-8.396315e-007,-0.010984
-8.394315e-007,-0.010984
-8.392315e-007,-0.010984
-8.390315e-007,-0.0429828
-8.388315e-007,-0.0269834
-8.386315e-007,0.0210147
-8.384315e-007,-0.0269834
-8.382315e-007,-0.0269834
-8.380315e-007,-0.010984
-8.378315e-007,0.00501536
-8.376315e-007,-0.0269834
-8.374315e-007,-0.010984
-8.372315e-007,0.00501536
-8.370315e-007,-0.010984
-8.368315e-007,-0.010984
-8.366315e-007,0.00501536
-8.364315e-007,-0.010984
-8.362315e-007,-0.0269834
-8.360315e-007,0.00501536
-8.358315e-007,0.00501536
-8.356315e-007,0.00501536
-8.354315e-007,0.0370141
-8.352315e-007,-0.010984
-8.350315e-007,0.0210147
-8.348315e-007,-0.010984
-8.346315e-007,-0.0269834
-8.344315e-007,0.00501536
-8.342315e-007,0.00501536
-8.340315e-007,0.00501536
-8.338315e-007,-0.010984
-8.336315e-007,-0.010984
-8.334315e-007,0.00501536
-8.332315e-007,-0.010984
-8.330315e-007,0.0210147
-8.328315e-007,-0.0269834
-8.326315e-007,-0.0589822
-8.324315e-007,-0.010984
-8.322315e-007,-0.010984
-8.320315e-007,-0.0269834
-8.318315e-007,-0.0269834
-8.316315e-007,0.00501536
-8.314315e-007,-0.0269834
-8.312315e-007,0.00501536
-8.310315e-007,-0.010984
-8.308315e-007,-0.0269834
-8.306315e-007,-0.010984
-8.304315e-007,-0.010984
-8.302315e-007,0.0370141
-8.300315e-007,0.0210147
-8.298315e-007,-0.010984
-8.296315e-007,-0.0269834
-8.294315e-007,-0.0429828
-8.292315e-007,-0.010984
-8.290315e-007,-0.0269834
-8.288315e-007,-0.010984
-8.286315e-007,-0.0269834
-8.284315e-007,-0.010984
-8.282315e-007,0.0210147
-8.280315e-007,-0.010984
-8.278315e-007,-0.0429828
-8.276315e-007,0.0210147
-8.274315e-007,-0.010984
-8.272315e-007,0.0370141
-8.270315e-007,0.00501536
-8.268315e-007,-0.0269834
-8.266315e-007,-0.0269834
-8.264315e-007,-0.0269834
-8.262315e-007,-0.0269834
-8.260315e-007,0.0210147
-8.258315e-007,0.0210147
-8.256315e-007,-0.010984
-8.254315e-007,0.00501536
-8.252315e-007,0.00501536
-8.250315e-007,0.00501536
-8.248315e-007,0.0210147
-8.246315e-007,-0.010984
-8.244315e-007,0.00501536
-8.242315e-007,0.0370141
-8.240315e-007,0.00501536
-8.238315e-007,-0.0269834
-8.236315e-007,0.00501536
-8.234315e-007,0.0210147
-8.232315e-007,0.00501536
-8.230315e-007,-0.0269834
-8.228315e-007,-0.0269834
-8.226315e-007,-0.0429828
-8.224315e-007,0.00501536
-8.222315e-007,0.00501536
-8.220315e-007,-0.010984
-8.218315e-007,0.00501536
-8.216315e-007,0.0210147
-8.214315e-007,-0.0269834
-8.212315e-007,0.0370141
-8.210315e-007,0.0210147
-8.208315e-007,-0.010984
-8.206315e-007,-0.010984
-8.204315e-007,0.00501536
-8.202315e-007,-0.010984
-8.200315e-007,0.0210147
-8.198315e-007,-0.0269834
-8.196315e-007,0.00501536
-8.194315e-007,0.00501536
-8.192315e-007,-0.010984
-8.190315e-007,-0.010984
-8.188315e-007,0.00501536
-8.186315e-007,0.00501536
-8.184315e-007,-0.0269834
-8.182315e-007,-0.0269834
-8.180315e-007,0.00501536
-8.178315e-007,0.00501536
-8.176315e-007,-0.010984
-8.174315e-007,-0.010984
-8.172315e-007,-0.010984
-8.170315e-007,0.0210147
-8.168315e-007,0.0210147
-8.166315e-007,0.00501536
-8.164315e-007,-0.010984
-8.162315e-007,-0.010984
-8.160315e-007,-0.0269834
-8.158315e-007,-0.0269834
-8.156315e-007,-0.0429828
-8.154315e-007,-0.010984
-8.152315e-007,0.00501536
-8.150315e-007,0.0210147
-8.148315e-007,-0.010984
-8.146315e-007,0.0210147
-8.144315e-007,-0.010984
-8.142315e-007,-0.0429828
-8.140315e-007,0.00501536
-8.138315e-007,0.00501536
-8.136315e-007,-0.010984
-8.134315e-007,0.0210147
-8.132315e-007,-0.010984
-8.130315e-007,-0.010984
-8.128315e-007,-0.0269834
-8.126315e-007,-0.010984
-8.124315e-007,-0.0269834
-8.122315e-007,-0.0269834
-8.120315e-007,-0.0269834
-8.118315e-007,0.00501536
-8.116315e-007,0.00501536
-8.114315e-007,-0.0269834
-8.112315e-007,0.00501536
-8.110315e-007,0.00501536
-8.108315e-007,-0.0269834
-8.106315e-007,-0.010984
-8.104315e-007,0.00501536
-8.102315e-007,-0.010984
-8.100315e-007,0.00501536
-8.098315e-007,-0.010984
-8.096315e-007,0.00501536
-8.094315e-007,-0.010984
-8.092315e-007,-0.010984
-8.090315e-007,0.00501536
-8.088315e-007,-0.010984
-8.086315e-007,-0.010984
-8.084315e-007,-0.010984
-8.082315e-007,-0.010984
-8.080315e-007,0.00501536
-8.078315e-007,0.00501536
-8.076315e-007,0.0210147
-8.074315e-007,0.0210147
-8.072315e-007,0.00501536
-8.070315e-007,-0.0269834
-8.068315e-007,-0.010984
-8.066315e-007,0.00501536
-8.064315e-007,-0.0269834
-8.062315e-007,-0.010984
-8.060315e-007,-0.010984
-8.058315e-007,0.00501536
-8.056315e-007,0.00501536
-8.054315e-007,-0.010984
-8.052315e-007,-0.010984
-8.050315e-007,0.00501536
-8.048315e-007,0.0210147
-8.046315e-007,-0.0269834
-8.044315e-007,0.0210147
-8.042315e-007,-0.010984
-8.040315e-007,0.0210147
-8.038315e-007,0.00501536
-8.036315e-007,0.00501536
-8.034315e-007,-0.010984
-8.032315e-007,-0.0269834
-8.030315e-007,-0.010984
-8.028315e-007,-0.010984
-8.026315e-007,0.00501536
-8.024315e-007,-0.010984
-8.022315e-007,-0.010984
-8.020315e-007,-0.010984
-8.018315e-007,0.00501536
-8.016315e-007,0.00501536
-8.014315e-007,-0.010984
-8.012315e-007,-0.010984
-8.010315e-007,0.00501536
-8.008315e-007,-0.0269834
-8.006315e-007,-0.010984
-8.004315e-007,0.00501536
-8.002315e-007,-0.0269834
-8.000315e-007,-0.010984
-7.998315e-007,-0.010984
-7.996315e-007,-0.010984
-7.994315e-007,-0.0269834
-7.992315e-007,-0.0269834
-7.990315e-007,0.00501536
-7.988315e-007,0.00501536
-7.986315e-007,-0.0269834
-7.984315e-007,0.00501536
-7.982315e-007,0.00501536
-7.980315e-007,0.0210147
-7.978315e-007,0.0210147
-7.976315e-007,-0.010984
-7.974315e-007,-0.010984
-7.972315e-007,0.0210147
-7.970315e-007,-0.010984
-7.968315e-007,-0.010984
-7.966315e-007,0.00501536
-7.964315e-007,0.00501536
-7.962315e-007,-0.010984
-7.960315e-007,-0.010984
-7.958315e-007,0.00501536
-7.956315e-007,-0.010984
-7.954315e-007,-0.010984
-7.952315e-007,0.00501536
-7.950315e-007,0.00501536
-7.948315e-007,-0.010984
-7.946315e-007,-0.010984
-7.944315e-007,-0.010984
-7.942315e-007,0.00501536
-7.940315e-007,0.00501536
-7.938315e-007,-0.010984
-7.936315e-007,-0.010984
-7.934315e-007,0.0210147
-7.932315e-007,-0.010984
-7.930315e-007,0.0210147
-7.928315e-007,-0.010984
-7.926315e-007,-0.0429828
-7.924315e-007,0.0210147
-7.922315e-007,-0.0269834
-7.920315e-007,0.00501536
-7.918315e-007,0.0210147
-7.916315e-007,-0.010984
-7.914315e-007,0.00501536
-7.912315e-007,-0.0429828
-7.910315e-007,-0.010984
-7.908315e-007,0.00501536
-7.906315e-007,0.00501536
-7.904315e-007,0.00501536
-7.902315e-007,0.00501536
-7.900315e-007,0.0210147
-7.898315e-007,0.00501536
-7.896315e-007,-0.0269834
-7.894315e-007,0.0210147
-7.892315e-007,0.0210147
-7.890315e-007,0.00501536
-7.888315e-007,-0.010984
-7.886315e-007,0.00501536
-7.884315e-007,-0.0429828
-7.882315e-007,-0.0269834
-7.880315e-007,0.00501536
-7.878315e-007,0.00501536
-7.876315e-007,0.00501536
-7.874315e-007,0.00501536
-7.872315e-007,-0.010984
-7.870315e-007,0.0210147
-7.868315e-007,0.00501536
-7.866315e-007,-0.0429828
-7.864315e-007,-0.010984
-7.862315e-007,-0.0269834
-7.860315e-007,0.00501536
-7.858315e-007,-0.0269834
-7.856315e-007,-0.0269834
-7.854315e-007,0.00501536
-7.852315e-007,-0.010984
-7.850315e-007,0.00501536
-7.848315e-007,-0.010984
-7.846315e-007,0.00501536
-7.844315e-007,0.00501536
-7.842315e-007,-0.0269834
-7.840315e-007,-0.010984
-7.838315e-007,-0.0269834
-7.836315e-007,-0.0269834
-7.834315e-007,-0.010984
-7.832315e-007,0.00501536
-7.830315e-007,-0.010984
-7.828315e-007,-0.010984
-7.826315e-007,0.0210147
-7.824315e-007,-0.0269834
-7.822315e-007,-0.0269834
-7.820315e-007,0.00501536
-7.818315e-007,-0.0269834
-7.816315e-007,-0.010984
-7.814315e-007,-0.0269834
-7.812315e-007,-0.0269834
-7.810315e-007,0.0210147
-7.808315e-007,0.00501536
-7.806315e-007,-0.010984
-7.804315e-007,0.00501536
-7.802315e-007,-0.010984
-7.800315e-007,-0.010984
-7.798315e-007,0.00501536
-7.796315e-007,-0.0269834
-7.794315e-007,0.00501536
-7.792315e-007,-0.0269834
-7.790315e-007,-0.010984
-7.788315e-007,-0.0269834
-7.786315e-007,-0.0429828
-7.784315e-007,-0.010984
-7.782315e-007,-0.0269834
-7.780315e-007,-0.010984
-7.778315e-007,-0.010984
-7.776315e-007,-0.0429828
-7.774315e-007,-0.0269834
-7.772315e-007,-0.010984
-7.770315e-007,-0.0269834
-7.768315e-007,-0.0269834
-7.766315e-007,-0.010984
-7.764315e-007,0.00501536
-7.762315e-007,-0.010984
-7.760315e-007,0.0210147
-7.758315e-007,0.00501536
-7.756315e-007,-0.010984
-7.754315e-007,0.00501536
-7.752315e-007,0.00501536
-7.750315e-007,0.00501536
-7.748315e-007,0.00501536
-7.746315e-007,0.00501536
-7.744315e-007,0.0210147
-7.742315e-007,-0.010984
-7.740315e-007,-0.0429828
-7.738315e-007,-0.0429828
-7.736315e-007,-0.010984
-7.734315e-007,-0.010984
-7.732315e-007,-0.010984
-7.730315e-007,0.00501536
-7.728315e-007,-0.0269834
-7.726315e-007,0.00501536
-7.724315e-007,-0.010984
-7.722315e-007,0.00501536
-7.720315e-007,0.00501536
-7.718315e-007,-0.010984
-7.716315e-007,-0.0269834
-7.714315e-007,0.00501536
-7.712315e-007,0.00501536
-7.710315e-007,-0.0269834
-7.708315e-007,-0.0269834
-7.706315e-007,-0.010984
-7.704315e-007,-0.0269834
-7.702315e-007,0.00501536
-7.700315e-007,-0.010984
-7.698315e-007,-0.010984
-7.696315e-007,-0.010984
-7.694315e-007,-0.010984
-7.692315e-007,-0.010984
-7.690315e-007,0.0210147
-7.688315e-007,0.0210147
-7.686315e-007,-0.010984
-7.684315e-007,-0.010984
-7.682315e-007,0.00501536
-7.680315e-007,-0.0269834
-7.678315e-007,-0.010984
-7.676315e-007,-0.010984
-7.674315e-007,-0.010984
-7.672315e-007,0.00501536
-7.670315e-007,-0.0269834
-7.668315e-007,-0.0429828
-7.666315e-007,0.00501536
-7.664315e-007,-0.010984
-7.662315e-007,0.00501536
-7.660315e-007,0.0530135
-7.658315e-007,0.0210147
-7.656315e-007,-0.010984
-7.654315e-007,0.0210147
-7.652315e-007,0.0530135
-7.650315e-007,0.00501536
-7.648315e-007,-0.0269834
-7.646315e-007,-0.0429828
-7.644315e-007,-0.154978
-7.642315e-007,-0.250975
-7.640315e-007,-0.442967
-7.638315e-007,-0.63496
-7.636315e-007,-0.746956
-7.634315e-007,-0.874951
-7.632315e-007,-0.922949
-7.630315e-007,-1.03494
-7.628315e-007,-1.05094
-7.626315e-007,-1.11494
-7.624315e-007,-1.14694
-7.622315e-007,-1.24294
-7.620315e-007,-1.22694
-7.618315e-007,-1.24294
-7.616315e-007,-1.22694
-7.614315e-007,-1.19494
-7.612315e-007,-1.17894
-7.610315e-007,-1.17894
-7.608315e-007,-1.19494
-7.606315e-007,-1.21094
-7.604315e-007,-1.21094
-7.602315e-007,-1.17894
-7.600315e-007,-1.17894
-7.598315e-007,-1.21094
-7.596315e-007,-1.17894
-7.594315e-007,-1.21094
-7.592315e-007,-1.19494
-7.590315e-007,-1.17894
-7.588315e-007,-1.21094
-7.586315e-007,-1.22694
-7.584315e-007,-1.21094
-7.582315e-007,-1.21094
-7.580315e-007,-1.22694
-7.578315e-007,-1.21094
-7.576315e-007,-1.22694
-7.574315e-007,-1.25894
-7.572315e-007,-1.21094
-7.570315e-007,-1.25894
-7.568315e-007,-1.22694
-7.566315e-007,-1.22694
-7.564315e-007,-1.24294
-7.562315e-007,-1.19494
-7.560315e-007,-1.19494
-7.558315e-007,-1.21094
-7.556315e-007,-1.21094
-7.554315e-007,-1.21094
-7.552315e-007,-1.19494
-7.550315e-007,-1.22694
-7.548315e-007,-1.21094
-7.546315e-007,-1.21094
-7.544315e-007,-1.22694
-7.542315e-007,-1.24294
-7.540315e-007,-1.21094
-7.538315e-007,-1.25894
-7.536315e-007,-1.22694
-7.534315e-007,-1.22694
-7.532315e-007,-1.22694
-7.530315e-007,-1.21094
-7.528315e-007,-1.25894
-7.526315e-007,-1.22694
-7.524315e-007,-1.22694
-7.522315e-007,-1.22694
-7.520315e-007,-1.24294
-7.518315e-007,-1.22694
-7.516315e-007,-1.24294
-7.514315e-007,-1.24294
-7.512315e-007,-1.27494
-7.510315e-007,-1.24294
-7.508315e-007,-1.21094
-7.506315e-007,-1.21094
-7.504315e-007,-1.21094
-7.502315e-007,-1.21094
-7.500315e-007,-1.21094
-7.498315e-007,-1.21094
-7.496315e-007,-1.21094
-7.494315e-007,-1.22694
-7.492315e-007,-1.24294
-7.490315e-007,-1.25894
-7.488315e-007,-1.22694
-7.486315e-007,-1.22694
-7.484315e-007,-1.25894
-7.482315e-007,-1.22694
-7.480315e-007,-1.22694
-7.478315e-007,-1.22694
-7.476315e-007,-1.21094
-7.474315e-007,-1.19494
-7.472315e-007,-1.17894
-7.470315e-007,-1.21094
-7.468315e-007,-1.22694
-7.466315e-007,-1.19494
-7.464315e-007,-1.22694
-7.462315e-007,-1.27494
-7.460315e-007,-1.21094
-7.458315e-007,-1.24294
-7.456315e-007,-1.21094
-7.454315e-007,-1.21094
-7.452315e-007,-1.21094
-7.450315e-007,-1.22694
-7.448315e-007,-1.22694
-7.446315e-007,-1.19494
-7.444315e-007,-1.21094
-7.442315e-007,-1.21094
-7.440315e-007,-1.19494
-7.438315e-007,-1.24294
-7.436315e-007,-1.24294
-7.434315e-007,-1.22694
-7.432315e-007,-1.25894
-7.430315e-007,-1.24294
-7.428315e-007,-1.24294
-7.426315e-007,-1.25894
-7.424315e-007,-1.22694
-7.422315e-007,-1.22694
-7.420315e-007,-1.25894
-7.418315e-007,-1.22694
-7.416315e-007,-1.22694
-7.414315e-007,-1.21094
-7.412315e-007,-1.21094
-7.410315e-007,-1.21094
-7.408315e-007,-1.24294
-7.406315e-007,-1.22694
-7.404315e-007,-1.21094
-7.402315e-007,-1.22694
-7.400315e-007,-1.22694
-7.398315e-007,-1.21094
-7.396315e-007,-1.22694
-7.394315e-007,-1.22694
-7.392315e-007,-1.22694
-7.390315e-007,-1.22694
-7.388315e-007,-1.22694
-7.386315e-007,-1.24294
-7.384315e-007,-1.24294
-7.382315e-007,-1.22694
-7.380315e-007,-1.22694
-7.378315e-007,-1.22694
-7.376315e-007,-1.24294
-7.374315e-007,-1.21094
-7.372315e-007,-1.24294
-7.370315e-007,-1.22694
-7.368315e-007,-1.22694
-7.366315e-007,-1.25894
-7.364315e-007,-1.22694
-7.362315e-007,-1.22694
-7.360315e-007,-1.22694
-7.358315e-007,-1.19494
-7.356315e-007,-1.25894
-7.354315e-007,-1.22694
-7.352315e-007,-1.22694
-7.350315e-007,-1.22694
-7.348315e-007,-1.19494
-7.346315e-007,-1.19494
-7.344315e-007,-1.22694
-7.342315e-007,-1.24294
